Day	Fluorescence	Replicate	Induction	Sample	Percentage
7	Negative	d	noninduced	mESC	23.21
7	Neongreen	d	noninduced	EB	0.33
7	Scarlet	d	noninduced	EB	1.75
7	Negative	d	noninduced	EB	97.54
7	Neongreen	wt	wt	mESC	0.08
7	Scarlet	wt	wt	mESC	1.19
7	Negative	wt	wt	mESC	98.71
7	Neongreen	c5	c5	mESC	22.75
7	Scarlet	c5	c5	mESC	0.06
7	Negative	c5	c5	mESC	1.19
7	Neongreen	a	induced	mESC	5.08
7	Scarlet	a	induced	mESC	74.88
7	Negative	a	induced	mESC	17.89
7	Neongreen	b	induced	mESC	6.14
7	Scarlet	b	induced	mESC	72.95
7	Negative	b	induced	mESC	18.86
7	Neongreen	c	induced	mESC	5.89
7	Scarlet	c	induced	mESC	71.69
7	Negative	c	induced	mESC	20.60
7	Neongreen	a	induced	EB	1.14
7	Scarlet	a	induced	EB	3.19
7	Negative	a	induced	EB	93.84
7	Neongreen	b	induced	EB	3.52
7	Scarlet	b	induced	EB	7.18
7	Negative	b	induced	EB	85.35
7	Neongreen	c	induced	EB	3.47
7	Scarlet	c	induced	EB	6.56
7	Negative	c	induced	EB	82.24
9	Neongreen	d	noninduced	EB	0.14
9	Scarlet	d	noninduced	EB	0.09
9	Negative	d	noninduced	EB	99.66
9	Neongreen	wt	wt	mESC	0.05
9	Scarlet	wt	wt	mESC	0.09
9	Negative	wt	wt	mESC	99.86
9	Neongreen	c5	c5	mESC	52.26
9	Scarlet	c5	c5	mESC	0.21
9	Negative	c5	c5	mESC	6.57
9	Neongreen	a	induced	EB	0.34
9	Scarlet	a	induced	EB	1.45
9	Negative	a	induced	EB	97.67
9	Neongreen	b	induced	EB	0.55
9	Scarlet	b	induced	EB	1.60
9	Negative	b	induced	EB	97.04
9	Neongreen	c	induced	EB	0.19
9	Scarlet	c	induced	EB	1.18
9	Negative	c	induced	EB	98.38
